6,Із плоті в камінь   ,"Перетворення, 6 рівень",1 дія,60 футів,"В, С, М (дрібка лайму, води та землі)","Концентрація, до 1 хвилини","Ви намагаєтеся перетворити одну істоту, яку можете бачити в межах відстані, на камінь. Якщо тіло цілі створене з плоті, істота повинна зробити рятівний кидок Статури. У разі невдачі, вона скута, оскільки її плоть починає жорсткішати. У разі успішного ряткидка істота не піддається чарам. Істота, скута цими чарами, повинна зробити повторний один ряткидок Статури в кінці кожного свого ходу. Якщо вона робить три успішні ряткидки проти цих чарів, чари завершуються. Якщо вона провалює ряткидки тричі, то перетворюється на камінь і стає скам’янілою, поки діють чари. Успіхи та невдачі не повинні бути послідовними; відстежуйте результати, поки ціль не набере три успіхи або три невдачі. Якщо скам’янілу істоту фізично пошкодять, поки вона в цьому стані, вона страждає від таких самих ушкоджень після повернення до нормального стану. Якщо ви підтримуєте концентрацію на цих чарах упродовж максимально можливого часу, істота перетворюється на камінь, доки цей ефект не знімуть.","Чаклун, чарівник"
1,Ілюзорний напис  ,"Ілюзія, 1 рівень (ритуал)",1 хвилина,Дотик Складові:,"С, М (чорнило на основі свинцю вартістю щонайменше 10 зм, яке поглинається чарами)",10 днів,"Ви пишете на пергаменті, папері чи іншому матеріалі для письма, та наповнюєте його потужною ілюзією, яка триває, поки діють чари. Для вас та будь-яких істот, кого ви визначаєте під час чарування, напис виглядає нормально, написаний вашою рукою, і передає те значення, яке ви вкладали в написаний текст. Для всіх інших текст виглядає так, ніби він написаний невідомим чи магічним шрифтом, який незрозумілий. Або ж ви можете зробити так, щоб написане виглядало як зовсім інше повідомлення, написане іншою рукою та іншою мовою, хоча це повинна бути одна з відомих вам мов. Якщо чари розвіяно, оригінальний напис та ілюзія зникають. Істота з істинним зором може прочитати приховане повідомлення.","Бард, чаклун, чарівник"
9,Істинне воскресіння  ,"Некромантія, 9 рівень",1 година,Дотик Складові:,"В, С, М (бризки святої води та діамант вартістю щонайменше 25 000 зм, який поглинається чарами)",Миттєво,"Ви торкаєтеся істоти, яка була мертвою не довше 200 років і померла з будь-якої причини, окрім старого віку. Якщо душа істоти вільна і згодна, істота повертається до життя з усіма своїми пунктами здоров’я. Ці чари закривають усі рани, нейтралізують будь-яку отруту, зцілюють усі хвороби та знімають будь-які прокляття, які діяли на істоту на час її смерті. Чари замінюють пошкоджені чи відсутні органи та кінцівки. Чари навіть можуть надати нове тіло, якщо початкове більше не існує, і в цьому разі ви зобов’язані промовити ім’я істоти. Істота з’являється у вибраному вами вільному просторі в межах 10 футів від вас.","Клірик, друїд"
9,Істинне перевтілення  ,"Перетворення, 9 рівень",1 дія,30 футів,"В, С, М (крапля ртуті, шматок гуміарабіку та струмінець диму)","Концентрація, до 1 години","Виберіть одну істоту або немагічний предмет, який ви можете бачити в межах відстані. Ви перетворюєте цю істоту на іншу істоту, істоту на предмет, або предмет на істоту (предмет не повинна тримати при собі інша істота). Перетворення триває, поки діють чари, або поки пункти здоров’я цілі не знизяться до 0, або поки ціль не помре. Якщо ви концентруєтеся на чарах їхню повну тривалість, перетворення триває, поки не буде розвіяне. Ці чари не впливають на перекиднів чи істот із 0 пунктів здоров’я. Незгодна істота може зробити рятівний кидок Мудрості, і в разі успіху чари не мають впливу на цю істоту. Істоту на істоту. Якщо ви перетворюєте істоту на інший тип істоти, нова форма може бути будь-якою за вашим вибором, із класом небезпеки, що дорівнює або менший за клас небезпеки цілі (або її рівень, якщо ціль не має класу небезпеки). Ігрова статистика цілі, включно зі значеннями ментальних здібностей, замінюються на значення статистики нової форми. Вона зберігає свій світогляд та особистість. Ціль набуває пунктів здоров’я своєї нової форми, і коли вона повертається до нормальної форми, то відновлює ті пункти здоров’я, які мала до перетворення. Якщо перетворення сталося унаслідок зниження пунктів здоров’я до 0, усі надмірні ушкодження переходять до нормальної форми. Поки надмірні ушкодження не знижують нормальні пункти здоров’я істоти до нуля, вона не непритомна. Істота обмежена в діях, що може виконувати за природою своєї нової форми, і вона не може говорити, створювати чари чи виконувати будь-які інші дії, що потребують рук або мови, хіба що нова форма здатна на такі дії. Спорядження цілі зливається з її новою формою. Істота не може активувати, використовувати, тримати чи якось інакше отримати привілеї від будь-якого свого спорядження. Предмет на істоту. Ви можете перетворити предмет на будь-який тип істоти, поки розмір істоти не більший за розмір предмета, і клас небезпеки істоти дорівнює 9 або менше. Істота дружня до вас і до ваших супутників. Вона діє в кожен ваш хід. Ви вирішуєте, які дії вона робить та як переміщується. Майстер має статистику істоти та виконує всі її дії та переміщення. Якщо чари стають постійними, ви більше не контролюєте цю істоту. Вона може залишитися дружньою до вас, залежно від того, як ви з нею поводилися. Істоту на предмет. Якщо ви перетворюєте істоту на предмет, вона перетворюється разом із усім, що має при собі. Статистика істоти замінюється статистикою предмета, і коли завершаться чари та вона повернеться до нормальної форми, істота не матиме спогадів про час, проведений у формі предмета.","Бард, чаклун, чарівник"
6,Істинний зір  ,"Віщування, 6 рівень",1 дія,Дотик Складові:,"В, С, М (мазь для очей вартістю 25 зм, виготовлена з грибного порошку, шафрану та жиру; мазь поглинається чарами)",1 година,"Ці чари дають згодній істоті, якої ви торкаєтеся, здатність бачити речі такими, якими вони є насправді. Поки діють чари, істота має істинний зір, помічає таємні двері, приховані магією, і може бачити в Етерний план на відстань до 120 футів.","Бард, клірик, заклинач, чаклун, чарівник"
8,Антимагічна сфера  ,"Перешкоджання, 8 рівень",1 дія,На себе,"В, С, М (дрібка залізного пороху або залізна стружка)","Концентрація, до 1 години","Невидима антимагічна сфера радіусом 10 футів оточує вас. Ця область відокремлена від магічної енергії, яка наповнює мультисвіт. У сфері неможливо створити чари, прикликані істоти зникають, і навіть магічні предмети стають звичайними. Поки діють чари, сфера рухається з вами й відцентрована на вас. Чари та інші магічні ефекти, окрім створених артефактами або богами, пригнічуються в сфері й не можуть проникнути крізь неї. Чарунка, якою намагаються створити чари, витрачається, але чари пригнічуються. Допоки ефект пригнічений, він не працює, але час дії пригніченого ефекту враховується як звичайна тривалість чарів. Прицільні ефекти. Чари та інші магічні ефекти, такі як магічна стріла і причаруванння особи, що націлюються на істоту або предмет у сфері, не діють на ціль. Область магії. Область впливу інших чарів чи магічних ефектів, як вогняна куля, не можуть поширюватися в цій сфері. Якщо сфера накладається на область магії, частина магії в області сфери пригнічується. Наприклад, полум’я, створене стіною вогню, пригнічується у межах сфери, створюючи прохід у стіні, якщо перетин областей достатньо великий. Чари. Будь-які активні чари чи інший магічний вплив на істоту чи предмет у сфері пригнічується, поки істота чи предмет залишаються у сфері. Магічні предмети. Властивості й сили магічних предметів пригнічені у сфері. Наприклад, довгий меч +1 у сфері діє як немагічний довгий меч. Властивості та сили магічної зброї пригнічуються, якщо їх використовують проти цілі у сфері або їх тримає нападник у сфері. Якщо магічна зброя чи магічний боєприпас повністю виходить зі сфери (наприклад, ви вистрілюєте магічною стрілою чи кидаєте магічний спис у ціль за межами сфери), магія такого предмета перестає бути пригніченою, щойно предмет повністю виходить зі сфери. Магічні подорожі. Телепортація та планарні подорожі не спрацьовують у сфері, незалежно від того, чи є сфера кінцевою метою чи відправною точкою такої магічної подорожі. Портали до іншого розташування, світу чи плану буття, так само як відкриття міжвимірного простору, такого як створений чарами мотузка трюків, тимчасово закриваються, поки перебувають у сфері. Істоти та предмети. Істоти чи предмети, прикликані або створені магічно, тимчасово перестають існувати у сфері. Така істота миттєво з’являється знову, щойно простір, у якому вона перебувала, залишає область впливу сфери. Розвіювання магії. Чари та магічні ефекти, такі як розвіювання магії, не впливають на сферу. Так само сфери, створені різними чарами Антимагічна сфера не знищують один одного.","Клірик, чарівник"
8,АнтипатіяСимпатія ,Зачарування 8-го рівня,1 година,60 футів,"В, С, М (шмат галуна, змоченого в оцті, для ефекту антипатії або крапля меду для ефекту симпатії)",10 днів,"Ці чари приваблюють або віднаджують істот за вашим вибором. Ви обираєте ціль у межах відстані, предмет або істоту, чий розмір “величезний” або менший, або область розміром не більше 200-футового куба. Після цього вкажіть тип розумної істоти, такої як червоні дракони, гобліни або вампіри. Ви наділяєте ціль аурою, яка або приваблює, або відштовхує вказаних істот на час дії чарів. Виберіть антипатію або симпатію як ефект аури. Антипатія. Зачарування змушує істоту обраного вами типу відчувати потужне бажання покинути область та уникати цілі. Коли така істота бачить ціль чи опиняється у межах 60 футів від неї, істота повинна зробити рятівний кидок Мудрості, або стане наляканою. Істота залишається наляканою, поки може бачити ціль або поки перебуває у межах 60 футів від неї. Поки істота налякана таким чином, вона повинна використовувати все своє переміщення, щоб рухатися до найближчого безпечного місця, де вона не зможе бачити ціль. Якщо істота переміщується більш як на 60 футів від цілі і не може її бачити, істота більше не налякана, але стає наляканою знову, якщо побачить ціль чи наблизиться до неї менш як на 60 футів. Симпатія. Зачарування змушує визначених істот відчувати потужне бажання наблизитися до цілі, коли вони опиняються у межах 60 футів від цілі або можуть її бачити. Коли така істота бачить ціль чи переміщується менш як на 60 футів від цілі, істота повинна зробити рятівний кидок Мудрості, або витратити все своє переміщення на кожному зі своїх ходів, щоб увійти в область або переміститися у межі досяжності цілі. Коли істота робить це, вона не може добровільно відійти від цілі. Якщо ціль завдає ушкоджень або інакше шкодить враженій істоті, істота під дією чарів може зробити рятівний кидок Мудрості, щоб завершити ефект на собі, як описано далі. Завершення ефекту. Якщо вражена чарами істота завершує свій хід далі 60 футів від цілі чи не може бачити ціль, істота робить рятівний кидок Мудрості. У разі успішного ряткидка істота позбувається дії чарів і розуміє відчуття відрази чи притягання як магічні. Крім того, істоті під дією чарів дозволяється новий рятівний кидок Мудрості кожні 24 години, поки чари існують. Істота, що зробила успішний ряткидок проти ефекту, має імунітет до нього на 1 хвилину, після чого ефект може подіяти на істоту знову.","Друїд, чарівник"
5,Арканна рука  ,"Втілення, 5 рівень",1 дія,120 футів,"В, С, М (яєчна шкаралупа та рукавичка зі зміїної шкіри)","Концентрація, до 1 хвилини","Ви створюєте велику руку з мерехтливої, прозорої енергії у незайнятому просторі, який ви можете бачити в межах відстані. Рука існує, поки тривають чари, і рухається за вашою командою, повторюючи рухи вашої власної руки. Рука є предметом із КЗ 20 та пунктами здоров’я, що дорівнюють максимуму ваших ПЗ. Якщо її пункти здоров’я знижуються до 0, чари завершуються. Вона має Силу 26 (+8) і Спритність 10 (+0). Рука не заповнює свій простір. Під час створення цих чарів та бонусною дією в наступні ходи ви можете переміщувати руку на відстань до 60 футів і потім виконати з нею один із наступних ефектів. Стиснутий кулак. Рука б’є одну істоту чи предмет у межах 5 футів від себе. Виконайте атаку ближнього бою чарами для руки, використовуючи свою ігрову статистику. У разі влучання ціль отримує 4к8 ушкоджень чистою енергією. Сильна рука. Рука намагається штовхнути істоту в межах 5 футів від себе в напрямку, який ви обрали. Зробіть перевірку Сили руки проти перевірки Сили (Атлетика) цілі. Якщо ціль має розмір “середній” або менший, вона робить цю перевірку з перевагою. Якщо ви досягаєте успіху, рука штовхає істоту на 5 футів плюс кількість футів, що дорівнює модифікатору вашої чаротворчої здібності, помноженому на 5. Рука рухається разом із ціллю, щоб залишатися у межах 5 футів від неї. Хапальна рука. Рука намагається схопити істоту, чий розмір “величезний” або менший, у межах 5 футів від себе. Ви використовуєте значення Сили руки для здійснення захвату. Якщо ціль має розмір “середній” або менший, вона робить свою перевірку із перевагою. Поки рука тримає ціль, ви можете стискати ціль, використовуючи бонусну дію. Коли ви це робите, ціль отримує дробильні ушкодження, що дорівнюють 2к6 + модифікатор вашої чаротворчої здібності. Обмежувальна рука. Рука зупиняється між вами там істотою за вашим вибором, поки ви не дасте руці іншу команду. Рука переміщується, щоб залишатися між вами та ціллю, даючи вам половинне укриття проти цілі. Ціль не може пройти крізь простір руки, якщо її значення Сили менше або дорівнює значенню Сили руки. Якщо значення Сили цілі більше, ніж значення Сили руки, ціль може переміститися до вас крізь простір руки, але цей простір вважатиметься для цілі важкопрохідною місцевістю. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 6 рівня або вищої, ушкодження від команди “стиснутий кулак” зростають на 2к8, і ушкодження від хапаючої руки зростають на 2к6 за кожну чарунку вище п’ятої.",Чарівник
4,Арканне око  ,"Віщування, 4 рівень",1 дія,30 футів,"В, С, М (клапоть шерсті кажана)","Концентрація, до 1 години","У межах відстані ви створюєте невидиме магічне око, що висить у повітрі, поки діють чари. Ви ментально отримуєте візуальну інформацію від ока, яке має нормальний і темний зір у межах 30 футів. Око може дивитися в будь-якому напрямку. Дією ви можете перемістити око на відстань до 30 футів у будь-якому напрямку. Обмежень щодо відстані, на яку ви можете відсунути від себе око, немає, але воно не може увійти до іншого плану існування. Суцільні бар’єри блокують переміщення ока, але око може пройти крізь отвір діаметром принаймні 1 дюйм.",Чарівник
2,Арканний замок  ,"Перешкоджання, 2 рівень",1 дія,Дотик Складові:,"В, С, М (золотий пил вартістю принаймні 25 зм, який чари поглинають)",Поки не розвіють,"Ви торкаєтеся закритих дверей, вікна, воріт, скрині чи іншого шляху входу, і вони стають замкненими на час дії чарів. Ви та істоти, яких ви визначаєте під час створення цих чарів, можуть відчинити предмет, як звичайно. Ви також можете встановити пароль, промовляння якого у межах 5 футів від предмета пригнічує ці чари на 1 хвилину. Інакше предмет непрохідний, поки його не зламають, або поки чари не розвіють чи не пригнітять. Створення стукоту на предмет пригнічує арканний замок на 10 хвилин. Поки діють чари, предмет важче зламати чи відкрити силою; КС до ламання чи відмикання будь-якого замка зростає на 10.",Чарівник
